<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.0945	1.0978	1.0917	1.0966	20077	0	0
2020.01.03	1.0966	1.1026	1.0949	1.1012	42666	0	0
2020.01.06	1.0888	1.1049	1.0821	1.1004	33422	0	0
2020.01.07	1.0991	1.1015	1.0974	1.1001	30423	0	0
2020.01.08	1.1007	1.1097	1.0515	1.1084	56942	0	0
2020.01.09	1.1080	1.1132	1.1034	1.1081	33362	0	0
2020.01.10	1.1079	1.1130	1.1069	1.1099	25931	0	0
2020.01.13	1.1156	1.1167	1.1078	1.1145	23997	0	0
2020.01.14	1.1145	1.1193	1.1116	1.1167	24339	0	0
2020.01.15	1.1165	1.1176	1.1129	1.1148	21985	0	0
2020.01.16	1.1150	1.1186	1.1101	1.1118	22201	0	0
2020.01.17	1.1118	1.1145	1.1097	1.1142	21284	0	0
2020.01.20	1.1054	1.1159	1.0989	1.1147	13607	0	0
2020.01.21	1.1147	1.1167	1.1097	1.1120	22049	0	0
2020.01.22	1.1120	1.1210	1.1097	1.1205	23488	0	0
2020.01.23	1.1211	1.1249	1.1179	1.1193	28610	0	0
2020.01.24	1.1197	1.1237	1.1169	1.1220	25592	0	0
2020.01.27	1.1239	1.1262	1.1170	1.1178	38911	0	0
2020.01.28	1.1183	1.1190	1.1102	1.1133	29406	0	0
2020.01.29	1.1110	1.1244	1.1110	1.1221	29807	0	0
2020.01.30	1.1223	1.1249	1.1106	1.1124	34386	0	0
2020.01.31	1.1124	1.1164	1.1067	1.1109	38285	0	0
2020.02.03	1.1098	1.1099	1.0951	1.0968	46832	0	0
2020.02.04	1.0966	1.1010	1.0865	1.0996	42425	0	0
2020.02.05	1.0982	1.1045	1.0918	1.0973	42960	0	0
2020.02.06	1.0975	1.1007	1.0877	1.0895	38575	0	0
2020.02.07	1.0895	1.0937	1.0816	1.0910	33574	0	0
2020.02.10	1.0903	1.0925	1.0807	1.0836	33214	0	0
2020.02.11	1.0840	1.0932	1.0771	1.0928	27427	0	0
2020.02.12	1.0923	1.0981	1.0869	1.0962	27342	0	0
2020.02.13	1.0958	1.1117	1.0903	1.1017	31651	0	0
2020.02.14	1.1015	1.1074	1.0989	1.1046	25975	0	0
2020.02.17	1.1025	1.1069	1.1009	1.1046	15585	0	0
2020.02.18	1.1046	1.1144	1.1046	1.1105	24061	0	0
2020.02.19	1.1105	1.1169	1.1094	1.1132	24831	0	0
2020.02.20	1.1128	1.1145	1.1058	1.1078	26978	0	0
2020.02.21	1.1076	1.1140	1.1001	1.1017	32024	0	0
2020.02.24	1.1020	1.1049	1.0965	1.0996	38708	0	0
2020.02.25	1.0998	1.1066	1.0915	1.1031	40491	0	0
2020.02.26	1.1029	1.1054	1.0961	1.1016	53220	0	0
2020.02.27	1.1016	1.1188	1.0989	1.1181	58811	0	0
2020.02.28	1.1188	1.1355	1.1033	1.1247	77255	0	0
2020.03.02	1.1267	1.1319	1.1169	1.1261	75211	0	0
2020.03.03	1.1258	1.1260	1.1081	1.1148	70917	0	0
2020.03.04	1.1172	1.1222	1.1044	1.1069	53874	0	0
2020.03.05	1.1074	1.1087	1.1002	1.1007	49164	0	0
2020.03.06	1.1012	1.1149	1.0919	1.1090	74403	0	0
2020.03.09	1.3328	1.5235	1.0867	1.1268	136427	0	0
2020.03.10	1.1114	1.1215	1.0955	1.1043	18550	0	0
2020.03.11	1.1043	1.1391	1.0925	1.1007	87764	0	0
2020.03.12	1.1007	1.1087	1.0643	1.0666	87848	0	0
2020.03.13	1.0666	1.0919	1.0526	1.0689	85464	0	0
2020.03.16	1.0804	1.1632	1.0276	1.0463	74818	0	0
2020.03.17	1.0463	1.0793	1.0260	1.0765	67425	0	0
2020.03.18	1.0765	1.2479	1.0673	1.1954	69355	0	0
2020.03.19	1.1954	1.2059	1.0679	1.1230	96090	0	0
2020.03.20	1.1230	1.2217	1.0767	1.1903	98183	0	0
2020.03.23	1.1822	1.2163	1.1664	1.1762	23928	0	0
2020.03.24	1.1762	1.2151	1.1421	1.1602	60375	0	0
2020.04.02	1.1224	1.3293	1.0776	1.1273	71793	0	0
2020.04.03	1.1278	1.1983	1.1110	1.1592	85696	0	0
2020.04.06	1.1392	1.2164	1.1391	1.2127	62112	0	0
2020.04.07	1.2017	1.2944	1.1810	1.2838	50885	0	0
2020.04.08	1.2827	1.2975	1.2281	1.2363	59563	0	0
2020.04.09	1.2363	1.3326	1.2157	1.3180	85952	0	0
2020.04.13	1.3163	1.3785	1.2997	1.3781	61567	0	0
2020.04.14	1.3762	1.4249	1.3373	1.4078	42056	0	0
2020.04.15	1.4064	1.4267	1.3243	1.3460	43444	0	0
2020.04.16	1.3460	1.4027	1.3116	1.3943	40192	0	0
2020.04.17	1.3624	1.5591	1.3624	1.5216	46770	0	0
2020.04.20	1.4748	1.7663	1.4672	1.6709	63050	0	0
2020.04.21	1.6797	5.4128	1.5278	2.7040	145138	0	0
2020.04.22	2.6850	3.6260	2.0976	2.3730	113600	0	0
2020.04.23	2.3897	2.5076	1.7510	1.8956	81296	0	0
2020.04.24	1.8889	1.9763	1.7240	1.8194	61342	0	0
2020.04.27	1.7549	2.6526	1.7549	2.3484	59277	0	0
2020.04.28	2.3569	3.2487	2.2071	2.2082	70022	0	0
2020.04.29	2.2156	2.3058	1.7164	1.8599	65035	0	0
2020.04.30	1.8681	1.8681	1.5401	1.5616	66706	0	0
2020.05.01	1.5575	1.5877	1.4450	1.4798	61053	0	0
